BAT1:1
BZ1:1
HOLE1:1
HOLE3:1
HOLE4:1
J1:1
J2:1
LCD1:1
Q1:1
Q2:1
R1:1
R2:1
R3:1
REF**:2
S1:1
SW1:1
U1:1
